Virtual Key Codes 

for US English-language keyboard

The following description is taken from " Windows API Guide " copyright © 2001 Paul Kuliniewicz

The virtual-key codes identify various virtual keys. Virtual keys mainly consist of actual keyboard keys, but also include "virtual" elements such as the three mouse buttons. The virtual keys also include many "keys" which usually do not exist at all. A key's virtual-key code does not change when modifier keys (Ctrl, Alt, Shift, etc.) are held -- e.g., the 1 key has the same virtual-key code whether 1 or ! is pressed. However, the numbers in the numeric keypad on the keyboard do have two different virtual-key codes: one for when Num Lock is on, and another for when Num Lock is off. Note that the virtual-key codes of 0-9 and A-Z equal their ASCII codes.

Note: The actual meanings of some of the key codes may vary on keyboards designed for different languages. Most notably, the VK_OEM_* that denote punctuation keys may vary between languages, relating to a different punctuation key. The meanings listed below are for a U.S. English-language keyboard.

 

VK_LBUTTON	&H1	The left mouse button
VK_RBUTTON	&H2	The right mouse button
VK_CANCEL	&H3	The Cancel virtual key, used for control-break processing
VK_MBUTTON	&H4	The middle mouse button
VK_BACK	&H8	Backspace
VK_TAB	&H9	Tab
VK_CLEAR	&HC	5 (keypad without Num Lock)
VK_RETURN	&HD	Enter
VK_SHIFT	&H10	Shift (either one)
VK_CONTROL	&H11	Ctrl (either one)
VK_MENU	&H12	Alt (either one)
VK_PAUSE	&H13	Pause
VK_CAPITAL	&H14	Caps Lock
VK_ESCAPE	&H1B	Esc
VK_SPACE	&H20	Spacebar
VK_PRIOR	&H21	Page Up
VK_NEXT	&H22	Page Down
VK_END	&H23	End
VK_HOME	&H24	Home
VK_LEFT	&H25	Left Arrow
VK_UP	&H26	Up Arrow
VK_RIGHT	&H27	Right Arrow
VK_DOWN	&H28	Down Arrow
VK_SELECT	&H29	Select
VK_PRINT	&H2A	Print (only used by Nokia keyboards)
VK_EXECUTE	&H2B	Execute (not used)
VK_SNAPSHOT	&H2C	Print Screen
VK_INSERT	&H2D	Insert
VK_DELETE	&H2E	Delete
VK_HELP	&H2F	Help
VK_0	&H30	0
VK_1	&H31	1
VK_2	&H32	2
VK_3	&H33	3
VK_4	&H34	4
VK_5	&H35	5
VK_6	&H36	6
VK_7	&H37	7
VK_8	&H38	8
VK_9	&H39	9
VK_A	&H41	A
VK_B	&H42	B
